country_code,indicator_code,indicator_name,year,value
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,40382.2078298575
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,38157.37022862
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,36614.2506533707
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,32110.1159661425
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,26334.862215032
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,24430.495982841
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,24487.2974685956
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,7294.64276088105
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,7133.02838048328
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,7770.594223351
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,5408.04535175023
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,4229.91064904503
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,4805.75371765917
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,4739.7943123408
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,4147.1981423222
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,3880.6852276838
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,5500.50364628486
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,7890.84028062087
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,7875.34536661549
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,7495.86527658099
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,7189.81869211976
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,5843.5337683582
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,4950.39949009423
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,5574.46810432575
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,3851.33015175141
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,2472.95725732287
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,1578.36733030667
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,1045.0136328106
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,883.692580745256
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,763.108895463487
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,703.670998584686
AZE,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,655.097249579917
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,39455.4466548546
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,38231.774484278
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,34957.1613279737
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,30367.8605757708
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,26178.7537607708
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,33640.3369861278
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,32642.3353203452
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,31875.4881749619
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,30616.5363157284
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,30719.405417469
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,29137.2175632622
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,27642.7419759179
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,28552.0242683151
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,27090.8376801379
BHS,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,27473.100430502
